Location,FactValueNumeric
South Sudan,0
Burundi,0.1
Liberia,0.6
Sierra Leone,0.7
Uganda,0.8
Central African Republic,0.8
Guinea,0.9
Mali,1.1
Guinea-Bissau,1.1
Madagascar,1.3
Malawi,1.8
Gambia,1.8
Djibouti,10.2
Eritrea,10.2
Kiribati,10.45
Andorra,100
Antigua and Barbuda,100
Australia,100
Austria,100
Bahamas,100
Bahrain,100
Barbados,100
Belgium,100
Brunei Darussalam,100
Canada,100
Chile,100
Croatia,100
Cyprus,100
Czechia,100
Denmark,100
Estonia,100
Faroe Islands,100
Finland,100
France,100
Germany,100
Greece,100
Guyana,100
Hungary,100
Iceland,100
Ireland,100
Israel,100
Italy,100
Japan,100
Kuwait,100
Latvia,100
Lithuania,100
Luxembourg,100
Malta,100
Monaco,100
Nauru,100
Netherlands (Kingdom of the),100
New Zealand,100
Norway,100
Oman,100
Panama,100
Poland,100
Portugal,100
Puerto Rico,100
Qatar,100
Republic of Korea,100
Romania,100
Saint Kitts and Nevis,100
San Marino,100
Saudi Arabia,100
Seychelles,100
Singapore,100
Slovakia,100
Slovenia,100
Spain,100
Sweden,100
Switzerland,100
Trinidad and Tobago,100
United Arab Emirates,100
United Kingdom of Great Britain and Northern Ireland,100
United States of America,100
Uruguay,100
Zambia,11.1
Democratic People's Republic of Korea,11.3
Micronesia (Federated States of),13.1
Burkina Faso,13.1
Timor-Leste,13.7
Nigeria,16.35
Kenya,20.7
Equatorial Guinea,23.1
Bangladesh,23.5
Cameroon,26.4
Ghana,26.9
Senegal,28.85
Sao Tome and Principe,3.1
Somalia,3.3
Rwanda,3.3
Niger,3.7
Tokelau,30.3
Zimbabwe,30.3
Sri Lanka,31.1
Afghanistan,32.6
Palau,33.4
Congo,33.9
Cote d'Ivoire,34.7
Nepal,35.5
Cambodia,35.7
Myanmar,36.1
Samoa,36.3
Lesotho,39.8
Democratic Republic of the Congo,4
Haiti,4.2
Mozambique,4.9
Bosnia and Herzegovina,42.05
Guatemala,43.2
Namibia,46.5
Mauritania,46.5
Pakistan,47.8
Eswatini,48.1
Honduras,48.1
Angola,49
Fiji,49.3
Benin,5.4
Mongolia,50.4
Philippines,52.3
Yemen,52.6
Nicaragua,55.9
Sudan,58.9
United Republic of Tanzania,6.2
Ethiopia,6.6
Chad,6.7
Montenegro,61.85
India,62.2
Botswana,64.4
Marshall Islands,64.7
Paraguay,68.1
Vanuatu,7.25
Comoros,7.8
Tuvalu,73.1
Cook Islands,74.2
Kyrgyzstan,77.3
North Macedonia,78.2
Serbia,78.7
Jamaica,79.1
Lao People's Democratic Republic,8
Solomon Islands,8.6
Cabo Verde,80.2
Uzbekistan,81.1
Albania,82
China,82
Indonesia,82.1
Belize,83
Tajikistan,83.1
Thailand,83.1
Peru,83.3
Tonga,83.6
Bhutan,84.7
Mexico,85.2
Bolivia (Plurinational State of),86.6
South Africa,87.4
Grenada,87.5
Georgia,87.8
Dominica,88.1
Malaysia,88.2
Gabon,89.3
Papua New Guinea,9.5
Togo,9.6
El Salvador,90.9
Dominican Republic,91.3
Colombia,91.9
Saint Vincent and the Grenadines,92.3
Kazakhstan,93.4
Syrian Arab Republic,93.6
Saint Lucia,94
Viet Nam,94.2
Suriname,94.3
Cuba,94.4
Ecuador,94.4
Ukraine,95.2
TÃ¼rkiye,95.2
Costa Rica,95.6
Venezuela (Bolivarian Republic of),95.8
Brazil,96.4
Iran (Islamic Republic of),96.5
Republic of Moldova,97.3
Armenia,97.9
Morocco,98.1
Azerbaijan,98.1
Niue,98.3
Mauritius,98.9
Iraq,99.3
Russian Federation,99.5
Maldives,99.5
Algeria,99.7
Belarus,99.7
Tunisia,99.8
Turkmenistan,99.9
Jordan,99.9
Argentina,99.9
Egypt,99.9
